nan,kierunek,date,dzień tygodnia,start_time,liczba godzin lekcyjnych,class,title,instructor,subject,method,room,uwagi
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,8 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,9 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,10 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,8 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,9 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,10 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,11 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,12 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,13 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,11 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,12 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,13 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,11 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,12 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,13 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,14 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,15 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,16 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
